cpu	cpu0	cpu1	cpu2	cpu3	cpu4	cpu5	cpu6	cpu7	
15.43	18.50	13.43	13.04	16.50	10.60	16.16	15.70	17.00	
13.07	12.43	10.29	16.04	18.59	14.83	15.53	13.02	9.85	
13.82	9.59	15.84	13.88	13.59	8.29	18.93	13.63	14.63	
12.89	11.88	21.84	17.27	10.50	12.31	7.92	10.30	9.09	
12.54	8.64	20.48	13.56	11.27	7.07	17.20	14.50	8.73	
12.33	13.93	12.31	13.30	9.70	13.91	14.14	12.07	13.10	
11.42	13.00	9.35	11.55	11.05	7.85	19.32	9.17	11.90	
11.74	13.93	15.84	8.91	10.29	8.08	13.65	12.80	11.33	
11.83	11.94	7.46	9.31	10.83	16.83	13.23	18.44	11.65	
11.30	10.89	10.78	12.37	16.25	8.08	11.96	12.43	8.69	
11.78	15.53	8.73	12.31	10.14	15.84	14.97	7.03	11.33	
12.09	10.52	15.84	13.65	10.29	9.22	12.25	13.50	15.76	
12.98	16.91	12.50	18.53	9.40	12.74	17.30	7.65	10.44	
12.63	12.62	13.79	15.57	8.73	11.16	16.66	5.58	14.07	
13.25	10.62	20.00	16.58	11.65	14.21	10.24	15.53	7.69	
